League,Season,PPDA,Variance
EPL,2014,10.0745,2.88729475
EPL,2015,9.541499999999997,2.5021827500000002
EPL,2016,10.3935,4.83207275
EPL,2017,11.573000000000002,5.541181
EPL,2018,11.851500000000001,4.100022749999999
EPL,2019,11.428500000000001,6.6747527500000015
EPL,2020,12.5935,9.846232750000002
La_liga,2014,8.285499999999999,1.99073475
La_liga,2015,8.304499999999997,1.62853475
La_liga,2016,8.8895,1.7638147499999992
La_liga,2017,9.440999999999999,0.978059
La_liga,2018,9.5315,1.4285927500000004
La_liga,2019,9.71,2.41936
La_liga,2020,9.940999999999999,4.602009
Serie_A,2014,9.1465,3.0132427500000003
Serie_A,2015,8.798,1.6138060000000007
Serie_A,2016,10.127999999999998,2.966546
Serie_A,2017,11.201,2.9320890000000004
Serie_A,2018,10.867999999999999,3.4761759999999997
Serie_A,2019,10.779,4.492559
Serie_A,2020,10.703999999999999,2.864034
Ligue_1,2014,9.1815,2.62874275
Ligue_1,2015,9.7125,4.045098749999999
Ligue_1,2016,10.432999999999998,2.8425210000000005
Ligue_1,2017,10.333499999999999,3.2280727500000004
Ligue_1,2018,10.5475,2.79320875
Ligue_1,2019,11.049000000000001,3.7346189999999986
Ligue_1,2020,11.442499999999999,5.09215875
Bundesliga,2014,8.01,5.157333333333333
Bundesliga,2015,8.373999999999999,3.9155802469135796
Bundesliga,2016,8.4905,3.742523765432099
Bundesliga,2017,9.025,2.192161728395062
Bundesliga,2018,10.6845,6.612080555555556
Bundesliga,2019,10.418500000000002,4.750257098765432
Bundesliga,2020,10.372499999999999,8.227036111111111
